"CodeStateID","Code"
1,"def oneToN(n):
    for num <= n:
        print(n, '')"
2,"def oneToN(n):
    for num <= in n:
        print(n, '')"
3,"print('hello world!')"
4,"print ('hello world!')"
5,"def Helloworld():
    print ('hello world!')"
6,"def HelloWorld():
    print ('hello world!')"
7,"def helloWorld():
    print ('hello World!')"
8,"print('Hello World!')"
9,"def oneToN(n):
    for num <= in range(n):
        print(n, '')"
10,"def helloWorld():
    print ('Hello World!')"
11,"def helloWorld():
    return 'Hello World!'"
12,"def oneToN(n):
    for num in range(n):
        if num <=n:
            print(n, '')"
13,"def oneToN(n):
    for num in range(n):
        if num <=n:
            return(n, '')"
14,"def oneToN(n):
    result = ''
    for i in range(1,n+1):
        result += str(i)
    return result"
15,"def isPrime(n):
    if n == 2:return True
    maxfactor = round(n**0.5)
    for factor in range(3, maxfactor,2):
        if n % factor == 0:
            return False
    return True"
16,"def isPrime(n):
    if n == 2:return True
    maxfactor = round(n**0.5)
    for factor in range(3, maxfactor+1,2):
        if n % factor == 0:
            return False
    return True"
17,"def oneToN(n):
    for num in range(n):
        if num <=n:
            m = print(n,'')
    return m
"
18,"def oneToN(n):
    for num in range(n):
        if num <=n:
            m = print(n,'')
            return m
"
19,"def isPrime(n):
    if n == 2:return True
    maxfactor = int(round(n**0.5))
    for factor in range(3, maxfactor+1,2):
        if n % factor == 0:
            return False
    return True"
20,"def doubleX(x):
    return x*2"
21,"def helloWorld():
    print('Hello World!')"
22,"def raiseToPower(x,y):
    return x**y
"
23,"import math

def convertToDegrees(x):
    return x * (360/math.pi)"
24,"import math

def convertToDegrees(x):
    return x * (360/2*math.pi)"
25,"import math

def convertToDegrees(x):
    return x * (180/math.pi)"
26,"def findRoot(a,b,c):
    root1 = (-b + ((b**2 - 4*a*c)**0.5)) / (2*a)
    root2 = (-b - ((b**2 - 4*a*c)**0.5)) / (2*a)
    if root1 >= root2:
        return root1
    else:
        return root2"
27,"def intToFloat(x):
	return float(x)"
28,"def leftoverCandy(candyBars, friends):
	return candyBars % friends"
29,"def howManyEggCartons(eggs):
	return eggs % 12 + 1"
30,"def f():
    return 'Hello World!'"
31,"def howManyEggCartons(eggs):
    if eggs % 12 == 0:
        return eggs // 12
	else:
	    return eggs // 12 + 1"
32,"def howManyEggCartons(eggs):
    if eggs % 12 == 0:
        return eggs // 12
    else:
	    return eggs // 12 + 1"
33,"def helloWorld:
    return 'Hello World!'"
34,"def kthDigit(x, k):
	x = abs(x)
	return x // (10**k) % 10"
35,"def doubleX(x):
    return 2*x"
36,"def kthDigit(x, k):
	x = abs(x)
	return (x // (10**k)) % 10"
37,"def kthDigit(x, k):
	x = abs(x)
    return (x // (10**k)) % 10"
38,"def kthDigit(x, k):
    x = abs(x)
    return x // (10**k) % 10"
39,"def raiseToPower(x, y):
    return x**y"
40,"import math

def convertToDegrees(x):
    return x*180/math.pi"
41,"def kthDigit(x, k):
    x = abs(x)
    return x // (10**(k-1)) % 10"
42,"def nearestBusStop(street):

    distanceBusStop = street % 8 

    if distanceBusStop == 0: return street

    elif 0 < distanceBusStop <= 4: return street - distanceBusStop

    elif 4 < distanceBusStop < 8:

        distanceToNextBusStop = 8"
43,"def overNineThousand(powerLevel):
	if powerLevel > 9000: return True
	return False"
44,"def hasTwoDigits(x):
	counter = 0
	while (x != 0):
	    x // 10
	    counter += 1
	if counter == 2: return True
    else: return False"
45,"def findRoot(a, b, c):
    root1 = (-b + (b**2 - 4*a*c)**0.5)/(2*a)
    root2 = (-b - (b**2 - 4*a*c)**0.5)/(2*a)
    return max(root1, root2)"
46,"def hasTwoDigits(x):
	counter = 0
	while (x != 0):
	    x // 10
	    counter += 1
	if counter == 2:
	    return True
    else: 
        return False"
47,"def leftoverCandy(candyBars, friends):
	return candyBars%friends"
48,"def hasTwoDigits(x):
    x = abs(x)
	counter = 0
	while (x != 0):
	    x // 10
	    counter += 1
	if counter == 2:
	    return True
    else: 
        return False"
49,"def hasTwoDigits(x):
    x = abs(x)
    counter = 0
	while (x != 0):
	    x // 10
	    counter += 1
	if counter == 2:
	    return True
    else: 
        return False"
50,"def hasTwoDigits(x):
    x = abs(x)
    counter = 0
    while (x != 0):
	    x // 10
	    counter += 1
	if counter == 2:
	    return True
    else: 
        return False"
51,"def hasTwoDigits(x):

    x = abs(x)

    counter = 0

    while (x != 0):

	    x // 10

	    counter += 1

	if counter == 2:

	    return True

    else: 

        return False"
52,"import math

def howManyEggCartons(eggs):
	return max.ceil(eggs/12)"
53,"import math

def howManyEggCartons(eggs):
	return math.ceil(eggs/12)"
54,"def raiseToPower(x,y):
    return x**y"
55,"import math 
def convertToDegrees(x):
    return x/math.pi*180"
56,"def findRoot(a,b,c):
    return ((-1)*b+(b**2-4*a*c))/(2*a)"
57,"def leftoverCandy(candyBars, friends):
	return candyBards%friends"
58,"def howManyEggCartons(eggs):
	return eggs+11//12"
59,"def howManyEggCartons(eggs):
	return (eggs+11)//12"
60,"def kthDigit(x, k):
	return (x/(10**(k-1))%10"
61,"def kthDigit(x, k):
	return (abs(n)//10**k)%10"
62,"def kthDigit(x, k):
	return (abs(x)//10**k)%10"
63,"def kthDigit(x, k):
	return (abs(x)//10**(k-1))%10"
